"Company Name","Company Site","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
Intercom,https://www.intercom.com/,https://assets.ctfassets.net/xny2w179f4ki/4SEt5hEBF2L6FHapT312cM/3d2b5e8442e5fc24660ac428347d546f/Ireland_Gender_Pay_Gap_Report_2023.pdf,2023,20.5,21.9,6.7,33.3,,,,,89.9,92.9,91.1,95.4,54.5,45.5,44.9,55.1,39.4,60.6,18.4,81.6,,
"IQVIA RDS Ireland Limited",https://www.iqvia.com/,https://www.iqvia.com/-/media/iqvia/pdfs/about-us/2023-ireland-gpr.pdf,2023,9,8,11,15,54,53,-61,28,90.3,85.7,90.3,85.7,63,37,76,24,74,26,58,42,,
"Irish Cancer Society",https://www.cancer.ie/,https://www.cancer.ie/sites/default/files/2023-12/Gender%20pay%20gap%20report%202023_vF.pdf,2023,5,-3,,,9,3,3,2,,,,,95,5,88,12,94,6,92,8,93,7
"Irish Distillers ",https://www.irishdistillers.ie/,https://www.irishdistillers.ie/wp-content/uploads/2023/12/Irish-Distillers-Gender-Pay-Gap-Report_-December-2023.pdf,2023,9.6,8,9.9,0,-39.9,-31.6,5,5.9,73.2,75.9,95.2,95.9,40,60,36,64,37,63,32,68,36,64
"Irish Life Group (all legal entities)",https://www.irishlife.ie/,https://assets-eu-01.kc-usercontent.com/ffd8d21b-ebd4-0151-55d5-297335c8f50f/3b3c372e-ef47-4490-a4eb-dc9a051c24d8/Irish%20Life%20Group%20Companies%20Gender%20Pay%20Report%202023.pdf,2023,21.8,12.2,53.3,32.8,1.5,-3.3,-20.6,-54.4,93.8,90.9,27.8,33.2,57.41,42.59,59.18,40.82,52.25,47.75,39.44,60.56,52,48
"Irish Prison Service: Civilian Grades",https://www.irishprisons.ie/,https://www.irishprisons.ie/wp-content/uploads/documents_pdf/IPS-Gender-Pay-Gap-Report-2023.pdf,2023,15.13,17.43,,,10.73,6.69,,,,,,,75,25,74,26,63,37,59,41,,
"Irish Prison Service: Prison Grades",https://www.irishprisons.ie/,https://www.irishprisons.ie/wp-content/uploads/documents_pdf/IPS-Gender-Pay-Gap-Report-2023.pdf,2023,1.66,1.11,,,-6.03,-1.26,,,,,,,22,78,19,81,19,81,19,81,,
"Irish Rugby Football Union (IRFU)",https://www.irishrugby.ie/,https://d19fc3vd0ojo3m.cloudfront.net/irfu/wp-content/uploads/2023/12/14162818/IRFU-Gender-Pay-Gap-Report-2023.pdf,2023,29,12,38,35,,,,,89,85,64,90,56,44,20,80,41,59,20,80,34,66
"Irish Wheelchair Association",https://www.iwa.ie/,https://www.iwa.ie/app/uploads/2023/12/IWA-Gender-Pay-Gap-2023.pdf,2023,3.87,-0.67,,,-3.52,-1.08,-6.56,-14.69,,,0.27,3.06,74.46,25.54,80.5,19.5,83.21,16.79,73.88,26.12,78,22
"ISS Facility Services Ireland",https://www.issworld.com/en-ie,https://brand.issworld.com/m/30d9800541b04794/original/Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,14,9.5,29.6,43.6,,,,,2.3,6.2,,,81,19,71,29,57,43,47,53,,
"Jabil Ireland",https://www.jabil.com/,https://www.jabil.mx/dam/jcr:50929ca0-7827-4c83-af80-6d4321087430/2023%20Ireland%20Gender%20Pay%20Gap%20Report.pdf,2023,17.7,8.5,39.7,19.2,38.5,24.6,5.8,7.4,77.5,79,20.1,20.5,33.7,66.3,37,63,30,70,20.2,79.8,,
Jacobs,https://www.jacobs.com/,https://www.jacobs.com/sites/default/files/2023-12/Ireland_Gender_Pay_Gap_2023_FINAL.pdf,2023,27.2,27.3,42.5,33.9,-1.3,2,51.2,0,24.9,32.9,2.9,3.6,47.7,52.3,48,52,27,73,15.4,84.6,34.5,65.5
"Janssen Pharmaceutical Sciences",https://www.janssen.com/ireland/,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,13.77,14.55,7.01,13.87,6.5,1.53,,,98.48,97.2,97.73,100,75.4,24.6,43.5,56.5,30.4,69.6,42.6,57.4,,
"Janssen Sciences Ireland",https://www.janssen.com/ireland/,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,3.07,5.91,-1.58,-13.3,-37.71,-17.64,-1.6,-1.03,93.63,93.4,96.74,96.7,53.9,46.1,40.3,59.7,31.1,68.9,43.3,56.7,,
"JD Sports Fashion",https://www.jdsports.ie/,https://www.jdplc.com/sites/jd-sportsfashion-plc/files/2023-12/ROI_JD_Sports_Fashion_Plc_GPG_2023_final_v2.pdf,2023,2.42,0.77,26.97,-9.22,,,,,66,34,62.5,37.5,66.79,33.21,58.21,41.79,56.72,43.28,60.07,33.93,,
"JJ Rhatigan",https://www.jjrhatigan.com,https://www.jjrhatigan.com/wp-content/uploads/2024/02/JJ-Rhatigan-Gender-Pay-Gap-Report-2023-FP.pdf,2023,37.41,35.81,80,0,,,,,12,88,6,94,24,76,17,83,10,90,3,97,14,86
"JLL Ireland",https://www.jll.ie/,https://www.jll.ie/content/dam/jll-com/documents/pdf/other/emea/ireland/jll-ie-gender-pay-gap-report-2023-final.pdf,2023,7.9,11.6,3.1,5.9,-67.9,-67.9,,,78.4,84.2,59.5,66.7,37.7,62.3,32.3,67.7,18.7,81.3,26.5,73.5,,
"John Paul Construction",https://www.johnpaul.ie/,https://www.johnpaul.ie/wp-content/uploads/2023/01/Gender-Pay-Gap-Report-2023.pdf,2023,41,29,76,0,,,,,78,86,59,77,38,62,18,82,8,92,10,90,19,81
"John Sisk and Son",https://www.johnsiskandson.com/,https://www.johnsiskandson.com/uploads/pdf/Gender-Pay-Gap-Report-2023-IRL.pdf,2023,11.87,19.64,18.66,0,-67.34,-115.36,-13.6,-0.94,69.84,72.24,13.76,49.55,20.14,79.86,22.74,77.26,10.63,89.37,9.97,90.03,16,84
"Johnson & Johnson Vision Care",https://jnjvisionpro.co.uk/,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,3.67,11.4,-1.65,17.01,,,-11.53,-2.96,84.56,84.23,95.22,93.74,22.1,77.9,19.2,80.8,10.3,89.7,15.2,84.9,,
"Johnson Controls: Silent-Aire",https://www.silent-aire.com/,https://www.johnsoncontrols.co.uk/-/media/jci/be/united-kingdom/gpg/hq2312001_gender-pay-gap-reporting-2023-rev1.pdf,2023,-10.1,-9.8,39,21.9,,,,,10.7,89.3,10.7,89.3,2.4,97.6,6,94,6,94,7.1,92.9,,
"Johnson Controls: Tyco",https://www.tyco.com/,https://www.johnsoncontrols.co.uk/-/media/jci/be/united-kingdom/gpg/hq2312001_gender-pay-gap-reporting-2023-rev1.pdf,2023,24.1,28.1,40,28.5,51.7,52.8,8.29,0,32.8,67.2,45.1,54.9,55.2,44.8,58.6,41.4,48.3,51.7,20.5,79.5,,
"JPMSE Dublin Branch",https://www.jpmorgan.com/global,https://www.jpmorgan.com/content/dam/jpmorgan/documents/global/disclosures/nov23-ireland-gender-pay-gap-report.pdf,2023,8.8,13.07,31.98,16.12,,,,,92.71,91.39,83.68,88.28,48.88,51.12,48.3,51.7,37.5,62.5,28.41,71.59,43,57
"KBC Bank Ireland",https://www.kbc.com/en/kbc-ireland.html,https://www.kbc.com/content/dam/kbccom/doc/ireland/20231130-final-kbci-gender-pay-report-2023.pdf,2023,13.89,12.69,37.47,33.33,38.57,45.89,,,84.85,83.89,93.6,92.28,54.36,45.64,52.35,47.65,52.35,47.65,40.54,59.45,49.92,50.08
"Keelings Farms",https://www.keelings.com/,https://www.keelings.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023-Individual.pdf,2023,4.8,0.2,81,30.6,,,1.5,0,3.4,9,0,0.4,35.9,64.1,37.1,62.9,39.9,60.1,30.6,69.4,,
"Keelings Logistics",https://www.keelings.com/,https://www.keelings.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023-Individual.pdf,2023,0.8,0.3,-6.4,24.7,-5.8,0.1,,,33,42.8,5.8,11.1,16,84,16.5,83.5,13,87,17.5,82.5,,
"Keelings Retail",https://www.keelings.com/,https://www.keelings.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023-Individual.pdf,2023,10.5,6.6,56.1,36,-6.4,-2.6,2.3,0.8,16.1,19,5.6,4.5,51.4,48.6,49.8,50.2,39.1,60.9,39.4,60.6,,
"Kellanova (Kellogg Europe Trading Limited)",https://www.kellanova.com/us/en/home.html,https://www.kelloggs.ie/content/dam/europe/kelloggs_ie/pdf/KELLANOVA_GPG_IRELAND_2023.pdf,2023,43.79,35.22,70.9,56.23,,,40.68,40.68,87,89,86,86,75,25,75,25,69,31,44,56,65,35
"Kelly Services (IRE) Limited",https://www.kellyservices.ie/,https://irp.cdn-website.com/7f167ff5/files/uploaded/Gender%20Report%202023%20Ireland.pdf,2023,28.21,-5.82,-1.85,-3.67,,,6.65,4.52,29.7,26.8,2.28,0.72,59,51,47,53,42,58,30,70,,
"Kepak Athleague",https://www.kepak.com/,https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,7.18,10.12,55.88,51.26,,,,,28,23,0,7,35,65,17,83,10,90,16,84,19,81
"Kepak Clonee",https://www.kepak.com/,https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,18.77,10.3,60.5,18.18,,,,,28,47,2,6,44,56,41,59,23,77,31,69,35,65
"Kepak Convenience Foods",https://www.kepak.com/,https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,-0.11,1.6,32.32,42.82,,,,,68,44,9,22,10,90,75,25,50,50,36,64,43,57
"Kepak Cork",https://www.kepak.com/,https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,8.33,8.92,40.32,49.8,,,,,16,47,1,1,43,57,34,66,14,86,20,80,28,72
"Kepak Longford",https://www.kepak.com/,https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,4.13,9.89,38.03,42.88,,,,,70,74,1,4,31,69,28,72,3,97,16,84,19,81
"Kepak McCarren Meats",https://www.kepak.com/,https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,4.46,3.25,28.8,46.51,,,,,85,94,0,0,31,69,37,63,26,74,24,76,30,70
"Kerry County Council",https://www.kerrycoco.ie/,https://www.kerrycoco.ie/wp-content/uploads/2023/12/Kerry-County-Council-Gender-Pay-Gap-Report-2023.pdf,2023,-1.86,-5.97,,,-19.45,-11.62,0.48,-0.55,,,0.21,0.97,29.55,70.45,8.71,91.29,57.52,42.28,31.4,68.6,32,68
"Kerry Education and Training Board",https://www.kerryetb.ie/,https://kerryetb.ie/wp-content/uploads/2024/02/Kerry-ETB-Gender-pay-gap-statement-2023-English-Version.pdf,2023,1.9,-3.08,,,7.56,0.04,,,,,,,48.98,51.02,51.02,48.98,49.95,50.05,50.92,49.08,66.25,33.75
"Kerry Group",https://www.kerry.com/,https://www.kerry.com/content/dam/kerry/en/pdf/about/policies-and-statements/irish-gender-pay-report-2023.pdf,2023,4.8,7.1,25.2,8,-19,13.7,34.3,22.7,32.9,27.6,0.5,1,43.2,56.8,34,66,26.1,73.9,41.2,58.8,,
"Keywords International Ltd. (Dublin Studio)",https://www.keywordsstudios.com/en/,https://www.keywordsstudios.com/download/file/a3ZzYmFZOVNKK3dpa3dBTXlmaDY3QT09/Gender-Pay-Gap-report-2023/,2023,33.1,9,72.5,62.8,-7.3,0.1,17.5,6.6,50,59,14,24,51,49,51,49,44,56,30,70,44,56
"Kildare and Wicklow Education and Training Board",https://kildarewicklow.etb.ie/,https://kildarewicklow.etb.ie/wp-content/uploads/2024/02/KWETB-Gender-pay-gap-statement-2023-English-Version.pdf,2023,9.19,10.45,,,4.64,1.23,,,,,,,48.88,51.12,49.78,50.22,49.68,50.31,50.14,49.86,71.18,28.82
"Kildare County Council",https://kildarecoco.ie/,https://kildarecoco.ie/YourCouncil/Publications/Kildare%20County%20Council%20%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,-4.69,-13.64,,,-11.29,-7.99,-11.63,-7.99,,,,,39.78,60.22,32.5,67.5,55.04,44.96,47.33,52.67,44,56
"Kilkenny and Carlow Education and Training Board",https://kcetb.ie/,https://kcetb.ie/wp-content/uploads/2024/01/KCETB-Gender-pay-gap-statement-2023-English-Version.pdf,2023,8.13,9.04,,,5.03,0.6,,,,,,,47.79,52.21,49.5,50.5,50.02,49.98,49.78,50.22,73.77,26.23
"Kilkenny County Council",https://www.kilkennycoco.ie/,https://kilkennycoco.ie/eng/publications/council_publications/gender-pay-gap-report-2023.pdf,2023,-0.52,-2.72,,,-17.78,-8.96,6.96,25.44,,,,,45.65,54.35,12.02,87.98,33.88,66.12,42.39,57.61,34,66
"Kilsaran Concrete",https://www.kilsaran.ie/,https://www.flipsnack.com/kilsaran/gender-pay-gap-report-2023/full-view.html,2023,0.32,4.74,14.76,-3.35,-5.88,5.69,-2.12,-6.02,79.96,73.53,20.59,20.92,20.89,79.1,3.16,96.84,4.43,95.57,14.56,85.44,10.76,89.24
"Kingspan Limited",https://www.kingspan.com/ie/en/,https://www.kingspan.com/content/dam/kingspan-group-website/documents/policies/kingspan-gender-pay-gap-report-en-ie.pdf,2023,8.73,8.72,13.88,0,12,-40,,,47.65,48.05,35,24.25,21,79,16,84,27,73,24,76,,
"KPMG (excluding partners)",https://kpmg.com/ie/en/home.html,https://assets.kpmg.com/content/dam/kpmg/ie/pdf/2023/12/ie-kpmg-ireland-gender-pay-gap-report-2023.pdf,2023,10.2,2.9,20.5,-4.2,53.2,30,4.3,-0.1,86.9,88.4,100,100,50.2,49.8,51.3,48.7,56.1,43.9,45.2,54.8,49.3,50.7
"Kyte Powertech Limited",https://www.kytepowertech.com/,https://www.kytepowertech.com/wp-content/uploads/2023/12/Gender-Pay-Gap-2023-1.pdf,2023,5.9,7.15,-96,-18,17.97,17.81,-41.86,-41.86,71,71,26,12,30,70,21,79,13,87,13,87,,
L'Oreal,https://www.loreal.com/en/uki/,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/7-local-country-folder/uk/documents/2023/13853macloreal-corp-commsirish-gender-pay-gap-report-2023.pdf?rev=f3c62cbcba3a4882a9182f8e400a24b3,2023,31,28,41,43,-8.6,-13,-28,-10,33,45,99,100,89,11,91,9,91,9,75,25,86,14
"Lakeland Dairies",https://www.lakeland.ie/,https://www.lakeland.ie/images/uploads/website/Lakeland_Dairies_Gender_Pay_Gap_Report_2023_PDF.pdf,2023,16.2,13.4,40,1.2,-81.6,-90.9,-2,1.1,34.6,30.5,100,100,45.15,53.85,25.97,74.03,16.02,83.98,28.18,71.82,29.1,70.9
"Laois and Offaly Education and Training Board",https://www.loetb.ie,https://www.loetb.ie/contentFiles/2024/ETB_Gender_pay_gap_statement_2023.pdf,2023,8.45,12.33,,,4.61,1.25,0,0,,,,,,,,,,,,,70.21,29.79
"Laois County Council",https://laois.ie/,https://laois.ie/wp-content/uploads/Gender-Pay-Gap-Report-for-2023.pdf,2023,5.46,-3.22,,,2.59,-3.13,20.24,32.17,,,,,54.29,45.71,25.18,74.82,63.77,36.23,47.86,52.14,48,52
"Laya Healthcare",https://www.layahealthcare.ie/,https://www.layahealthcare.ie/diversityandinclusion/genderpaygap/,2023,26.3,22.5,54.5,29.2,-50.9,-30.8,-3.1,-31.3,94.6,87.1,95.2,88.8,75.8,24.2,83.6,16.4,73.9,26.1,58.8,41.2,73,27
"Legal Aid Board",https://www.legalaidboard.ie/,https://www.legalaidboard.ie/en/about-the-board/press-publications/gender-pay-gap-reporting/gender-pay-gap-report-2023.pdf,2023,4.97,0,,,9.6,25.73,-3.39,-1.41,,,,,78.83,21.17,82.84,17.16,81.56,17.44,78.83,21.17,81,19
"Leitrim County Council",https://www.leitrimcoco.ie/,https://www.leitrimcoco.ie/eng/your-council/corporate-governance/leitrim-county-council-gender-pay-gap-report-2023.pdf,2023,-3.91,-16.05,,,-6.75,-2.46,24.38,4.86,,,,,27.84,72.16,13.54,86.46,64.58,35.42,40.63,59.38,37,63
"Leonardo Hotels",https://www.leonardo-hotels.com/republic-of-ireland,https://www.leonardohotels.co.uk/files/pdfs/gpg_2023_ire_narrative_v2_final.pdf,2023,12.9,2,59.4,2.4,-5.6,0.2,,,22.1,20.3,1.9,1.3,61.5,38.5,65.9,34.1,49.5,50.5,56,44,58.2,41.8
"Liberty Claims Handling and Imaging",https://www.liberty-it.co.uk/,https://www.liberty-it.co.uk/documents/ireland-gender-pay-report-liberty-it-december-2023-final.pdf,2023,11.4,13.9,32.9,14.1,0,0,0,0,87,100,0,0,90,10,72.4,27.6,44.8,55.2,43.7,53.3,,
"Liberty IT",https://www.liberty-it.co.uk/,https://www.liberty-it.co.uk/documents/ireland-gender-pay-report-liberty-it-december-2023-final.pdf,2023,20.9,11.5,13.4,33.6,0,0,-71.8,-68.4,87.2,83.8,87.2,75.6,30.8,62.2,26.9,73.1,21.2,78.9,11.8,88.2,,
Lidl,https://www.lidl.ie/,https://www.lidl.ie/static/assets/GenderPayGapReport2023-724629.pdf,2023,7,2.8,-5.5,0,2.5,1.7,0.7,-0.9,3.3,3.4,26.4,27.7,50,50,48,52,41,59,41,59,,
"Lifestyle Sports",https://www.lifestylesports.com/ie/,https://staging-eu01-lifesports.demandware.net/on/demandware.static/-/Library-Sites-LSSSharedLibrary/default/LSS-Gender-Pay-Gap-Report-2022.pdf,2023,-19.3,-1.82,-100.33,-100,1.75,0.39,-38.03,0,10.83,9.92,1.26,1.53,58.18,41.82,51.52,48.48,55.76,44.24,75.61,24.39,60.24,39.76
"Liffey Meats",https://liffeymeats.ie/,https://liffeymeats.ie/gender-pay-gap/,2023,13.79,6.76,55.6,31.53,,,,,23.4,,,,33,67,31.1,68.9,26,74,9.25,90.75,24.8,75.2
"Limerick and Clare Education and Training Board",https://lcetb.ie,https://lcetb.ie/annual-reports/,2023,1.69,-1.36,,,1.29,-0.06,,,,,,,50.12,49.88,50.07,49.93,50.19,49.81,48.19,51.81,68.81,31.19
"Limerick City & County Council",https://www.limerick.ie/council,https://www.limerick.ie/sites/default/files/media/documents/2023-12/limerick-city-and-county-council-gender-pay-gap-report-for-2023.pdf,2023,3.88,-5.61,,,-5.47,-3.32,4.14,-3.36,,,0,0.23,49.06,50.94,26.22,73.78,50.54,49.46,38.81,61.19,41,59
Linesight,https://www.linesight.com/,https://assets.ctfassets.net/1lsus2dflm8x/72D4VkVZcDL43skXfFfDlE/15a8dc03eddfbf10175d939655741045/Linesight_Gender_Pay_Gap_Report_2023_-_20_Dec_2023__2_.pdf,2023,18.46,24.56,37.03,0,20.04,15.26,16.32,37.12,85.78,83.33,31.25,26.54,42,58,39,61,21,79,23,77,31.2,68.8
LinkedIn,https://www.linkedin.com/feed/,https://news.linkedin.com/content/dam/me/news/en-us/images/Ireland_GPG_2023.pdf,2023,9.1,12.8,27.4,34.3,19.8,19.4,,,95,97,99,98,62,38,56,44,51,49,46,54,,
"Lloyds Pharmacy (part of PHX Ireland)",https://lloydspharmacy.ie/,https://lloydspharmacy.ie/pages/gender-pay-gap-report,2023,33.7,25.3,51.2,30.8,17.4,3.3,,,90.9,90.3,10.5,25.7,91.6,8.4,89.7,10.3,92,8,73.7,26.3,86.8,13.2
"Longford and Westmeath Education and Training Board",https://www.lwetb.ie/,https://www.lwetb.ie/wp-content/uploads/2024/01/LWETB-Gender-Pay-Gap-Statement-2023.pdf,2023,10.06,11.56,,,-0.39,2.04,,,,,,,50.85,49.15,50.21,49.79,50.51,49.49,49.89,50.11,70.37,29.63
"Longford County Council",https://www.longfordcoco.ie/,https://www.longfordcoco.ie/your-council/policy-and-publications/gender%20pay%20gap%20report%202023/longford-county-council-gender-pay-gap-report-2023.pdf,2023,-3.02,-16.7,,,-14.48,-9.84,26.82,25.28,,,,,35.92,64.08,23.53,76.47,63.73,36.27,45.63,54.37,42,58
LotusWorks,https://lotusworks.com/en-ie/,https://lotusworks.com/en-ie/gender-pay-gap-2023/,2023,19.05,26.57,-7.81,-50,20.96,26.57,5.78,12.74,5.2,5.7,67.2,70.23,35.56,64.44,8.79,91.21,3.3,96.7,10,90,15.5,84.5
"Louth and Meath Education and Training Board",https://www.lmetb.ie/,https://www.lmetb.ie/wp-content/uploads/2024/01/ETB-Gender-pay-gap-statement-2023-English-Version-.pdf,2023,3.42,-1.71,,,2.3,-0.35,,,,,,,49.74,50.26,49.94,50.06,50.15,49.85,49.06,50.94,69.24,30.76
"Louth County Council",https://www.louthcoco.ie/,https://www.louthcoco.ie/en/publications/other-reports/louth-county-council-gender-pay-gap-report-2023.html,2023,2.41,-1.32,,,-2.8,-2.41,-3.79,-4.05,,,,,50.25,49.75,26.63,73.37,43.43,56.57,39.7,60.3,40,60
"Lufthansa Technik Turbine Shannon",https://www.ltts.ie/,https://www.ltts.ie/wp-content/themes/ltts/approvals/LTTS_Gender_Pay_Gap_Report.pdf,2023,17,20,29,31,,,,,7,6,76,89,17,83,21,79,3,97,7,93,12,88
"M&S Ireland",https://www.marksandspencer.com/ie/,https://asset1.cxnmarksandspencer.com/is/content/mands/Diversity_Inclusion_And_The_Gender_Pay_Gap_Ireland_2023.pdf,2023,5.3,1.1,21.1,14.3,-7.9,-2.7,2.1,0.5,91.8,88.9,,,71.6,28.4,74.8,25.2,72.3,27.7,68.9,31.1,72,28
"Magna International Autolaunch Ireland Limited",https://www.magna.com/,https://www.magna.com/docs/default-source/ireland-pay-legislation/gender-pay-gap-reporting-results-2023.pdf?sfvrsn=2a196c03_11,2023,4.95,4.57,-48.61,-21.83,,,,,45.45,36.19,4.55,5.24,7.21,92.79,3.64,96.36,3.6,96.4,5.45,94.55,5.29,94.71
"Marine Institute",https://www.marine.ie/,https://www.marine.ie/sites/default/files/MIFiles/Docs/General/Final-Marine-Gender-Pay-Gap-Report-2023.pdf,2023,14.3,10.1,,,21.4,18.4,11.1,12,,,,,58,42,54,46,56,44,37,63,51.5,49.5
"Marsh Employee Benefits Ltd",https://www.marsh.com/ie/home.html,https://info.marsh.com/l/395202/2023-12-22/cl947b/395202/1703233409C7uTEIyq/Marsh_McLennan_Gender_Pay_Gap_Report_2023.pdf,2023,35.8,4.8,70.6,11.2,-6.4,9.4,,,90.4,87.8,91.2,95.3,47.2,52.8,52.2,47.8,61.1,38.9,31,69,,
"Mary Immaculate College",https://www.mic.ul.ie/,https://www.mic.ul.ie/about-mic/governance-at-mic/gender-pay-gap-report?index=1,2023,11.09,25.81,,,-79.31,-68.14,-17.82,-16.05,,,2,4,69,31,88,12,72,28,54,46,,
"Mason Hayes & Curran (incl. partners)",https://www.mhc.ie/,https://www.mhc.ie/uploads/documents/GPG-2023-Report.pdf,2023,56,26,55,64,12,7,1,1,64,52,58,54,66,34,76,24,66,34,41,59,,
"Mastercard Ireland",https://www.mastercard.ie/en-ie.html,https://web.archive.org/web/20231218043557/https://www.mastercard.ie/content/dam/public/mastercardcom/eu/ie/vision/Other/MAU16858_Ireland_GenderPayGap_2023_v3.pdf,2023,12.6,12.4,20,6.1,,,,,82.7,80.6,94.5,92.9,35.4,64.6,40.6,59.4,22.3,77.3,24.4,75.6,,
"Matheson: Matheson LLP (including partners)",https://www.matheson.com/,https://prod02.matheson.com/docs/default-source/about-us/matheson-gender-pay-gap-report-2023.pdf?sfvrsn=da7e524d_2,2023,62,15,65,63,21,37,0,3,50,64,91,79,70,30,67,33,71,29,51,49,68,32
"Matheson: Support Services (including partners)",https://www.matheson.com/about-us/matheson-in-house-network,https://prod02.matheson.com/docs/default-source/about-us/matheson-gender-pay-gap-report-2023.pdf?sfvrsn=da7e524d_2,2023,73,31,85,54,,,,,66,82,83,60,69,31,84,16,63,37,45,55,70,30
"Maynooth University",https://www.maynoothuniversity.ie/,https://maynoothuniversity.ie/sites/default/files/assets/document//GPG%20Report%20MU%202023%2012%2018.pdf,2023,9.99,10.6,,,13.9,2.88,7.12,9.69,,,0.13,0.4,66.77,33.23,65.71,34.29,57.69,42.31,48.24,51.76,58,42
"Mayo County Council",https://www.mayo.ie/,https://www.mayo.ie/getmedia/95ac3830-6f18-4a03-9022-32aa322701c4/Mayo-Co-Co-Gender-Pay-Gap-Report-for-2023.pdf,2023,-1.99,-8.96,,,-2.55,-2.78,15.25,6.67,,,,,39.13,60.87,12.71,87.29,55.85,44.15,43.81,56.19,38,62
"Mayo Sligo & Leitrim Education and Training Board",https://msletb.ie/,https://msletb.ie/wp-content/uploads/MSLETB-Gender-Pay-Gap-Report-2023.pdf,2023,2.72,-1.74,,,2.65,0.33,,,,,,,47.6,52.4,50.2,49.8,50.25,49.75,50.27,49.73,65.43,34.57
"McCann Fitzgerald (excluding partners)",https://www.mccannfitzgerald.com/,https://www.mccannfitzgerald.com/uploads/McCann_FitzGerald_LLP_Gender_Pay_Gap_Report_2023.pdf,2023,13.7,0.3,47.7,25.5,-155.4,-87.7,-0.2,0.5,85,84,54,50,66,34,71,29,74,26,54,46,66,34
"Meath County Council",https://www.meath.ie/,https://www.meath.ie/system/files/media/file-uploads/2023-12/MCC%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,6.56,-0.31,,,-11.26,-5.48,-32,-50.72,,,,,47.81,52.19,41.23,58.77,53.1,46.9,37.28,62.72,45,55
"Mediahuis Ireland",https://www.mediahuis.ie/,https://www.mediahuis.ie/app/uploads/2023/12/GPG-Report-2023.pdf,2023,20.6,23.8,36.7,0,25.6,33.6,29.5,35.6,82,87,100,100,53,47,40,60,37,63,24,76,39,61
Medtronic,https://www.medtronic.com/en-ie/our-company/medtronic-ireland.html,https://www.medtronic.com/content/dam/medtronic-wide/public/western-europe/employee-support-services/communications/gender-pay-gap-report-fy23-ie-en.pdf,2023,9,4,22,20,0,1,6,25,98,97,64,70,54,48,48,52,49,51,41,59,,
Mercer,https://www.mercer.com/en-ie/,https://www.mercer.com/assets/ie/en_ie/shared-assets/local/attachments/pdf-HR-Mercer-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,32.6,25.2,58.4,33.2,66.5,6.2,75.7,-12,90.3,89.3,93.6,95.2,58.1,41.9,58.8,41.2,49.4,50.6,35.3,64.7,,
"Merck Millipore",https://www.merckmillipore.com/IE/en,https://www.merckgroup.com/content/dam/web/corporate/non-images/country-specifics/ireland/Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,13.8,18.7,8.8,22.3,,,,,97.9,98,86.5,91.8,53,47,40,60,21,79,22,78,34.4,65.6
"Mercury Ireland UC (Mercury Engineering)",https://www.mercuryeng.com/,https://www.mercuryeng.com/wp-content/uploads/2023/12/2023-Gender-Pay-Gap-Report.pdf,2023,13.16,12.44,54.51,50,,,,,19.84,80.16,,,10.91,89.09,21.25,78.75,7.5,92.5,8.04,91.96,10.52,89.48
"Mercy University Hospital",https://www.muh.ie/,https://www.muh.ie/images/muhdocs/MUH_Reports_Gender_Pay_Gap_2023.pdf,2023,24.14,0.08,,,7.79,-31.52,,,,,0.07,1.34,77.83,22.17,79.63,20.37,84.26,15.74,72.22,27.78,79,21
"Meta Ireland (all legal entities)",https://about.meta.com/,https://s21.q4cdn.com/399680738/files/doc_downloads/2023/12/Meta-in-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,14.5,10,41.7,20.9,,,15.2,27.8,99.3,99.8,100,100,62,38,53.2,46.8,49.6,50.4,37.9,62.1,,
